donor_id,name,age,gender,blood_type,location,latitude,longitude,last_donation_date,availability_status,health_conditions,contact_number,donation_frequency,responsiveness_score,base_availability_score
DON_000018,Donor_18,45,Male,AB+,"Bangalore, India",12.953715034950196,77.59817304541937,2025-01-15,Unavailable,Hypertension,+91-7999270936,2,0.7056625234833839,0.3
DON_000019,Donor_19,30,Male,AB+,"Delhi, India",28.697583996523942,77.11613435490952,2025-07-27,Unavailable,None,+91-9170484433,2,0.5065979881376186,0.0
DON_000020,Donor_20,44,Female,B+,"Delhi, India",28.69935054688839,77.09596670767426,2024-11-08,Available,None,+91-9585650756,1,0.44088846726200875,1.0
DON_000021,Donor_21,56,Female,O+,"Kolkata, India",22.591320056804726,88.33148732659932,2024-12-22,Available,None,+91-7113971123,2,0.6196627357586513,1.0
DON_000022,Donor_22,22,Male,B+,"Delhi, India",28.694284913489522,77.10712103474263,2025-03-01,Available,None,+91-9410529190,0,0.9120340010608811,1.0
DON_000023,Donor_23,37,Male,B+,"Kolkata, India",22.57467598261286,88.35800635243056,2025-03-19,Available,None,+91-7854001193,4,0.47439025563662274,1.0
DON_000024,Donor_24,45,Male,A+,"Bangalore, India",12.984376648957884,77.58868428611164,2024-08-08,Unavailable,Diabetes,+91-9791232393,2,0.5225471798812953,0.3
DON_000025,Donor_25,41,Female,B+,"Chennai, India",13.081398569456324,80.2898231763984,2024-12-11,Available,None,+91-9340505846,3,0.4008329473061337,1.0
DON_000026,Donor_26,47,Male,O+,"Delhi, India",28.701009074908033,77.11053813051377,2025-02-01,Unavailable,Diabetes,+91-8801823908,2,0.3565398043672252,0.3
DON_000027,Donor_27,42,Male,O+,"Chennai, India",13.077926182694247,80.26351555778749,2025-08-07,Unavailable,Hypertension,+91-7946785248,1,0.5297293417794666,0.0
DON_000028,Donor_28,32,Female,B+,"Delhi, India",28.71681138225981,77.11020863101464,2024-06-20,Available,None,+91-8929338154,1,0.36729388381404054,1.0
DON_000029,Donor_29,40,Male,O+,"Hyderabad, India",17.38512592400782,78.49143627387727,2025-07-06,Unavailable,Tuberculosis,+91-9530876844,0,0.4748506297680953,0.0
DON_000030,Donor_30,35,Male,A+,"Chennai, India",13.08112276041746,80.25714942044483,2025-05-03,Available,None,+91-8194819984,2,0.3182978511016051,1.0
DON_000031,Donor_31,47,Male,A-,"Kolkata, India",22.57186388884208,88.36107778811012,2025-01-17,Available,None,+91-7027911967,3,0.39098155351068775,1.0
DON_000032,Donor_32,38,Male,A-,"Hyderabad, India",17.388023482903318,78.48675243699718,2024-09-27,Available,None,+91-7685731524,1,0.23255967291127264,1.0
DON_000033,Donor_33,35,Female,B-,"Hyderabad, India",17.369658858292645,78.49947676821898,2025-06-30,Unavailable,None,+91-9998485882,0,0.42986855130629364,0.0
DON_000034,Donor_34,38,Male,A+,"Bangalore, India",12.985286315575324,77.59026349673228,2024-09-10,Available,None,+91-8815115025,3,0.24850024103829527,1.0
DON_000035,Donor_35,30,Male,B+,"Bangalore, India",12.954566175606448,77.59404452301104,2025-05-23,Available,None,+91-8461364854,3,0.9148852261225633,1.0
DON_000036,Donor_36,39,Male,B+,"Bangalore, India",12.976476732749234,77.59397320902727,2025-07-02,Unavailable,None,+91-8193448329,0,0.7267560695316466,0.0
DON_000037,Donor_37,46,Female,O+,"Mumbai, India",19.074980504875203,72.87812134081743,2025-08-13,Unavailable,None,+91-7667779376,1,0.22525759939158094,0.0
DON_000038,Donor_38,41,Male,O-,"Kolkata, India",22.549580788352646,88.35763475817312,2025-08-09,Unavailable,None,+91-7924765563,2,0.7375841248251315,0.0
DON_000039,Donor_39,18,Female,O+,"Delhi, India",28.702230948774396,77.10202209122627,2025-01-08,Unavailable,Anemia,+91-8445662585,2,0.9822488388005826,0.3
DON_000040,Donor_40,22,Male,O+,"Hyderabad, India",17.39038910043685,78.48281930810202,2025-03-11,Available,None,+91-7438989805,2,0.17505958319624,1.0
DON_000041,Donor_41,26,Male,A+,"Bangalore, India",12.963314162289812,77.58914830800668,2025-06-02,Unavailable,Cancer,+91-7398340369,2,0.5377370188052467,0.3
DON_000042,Donor_42,18,Female,O+,"Delhi, India",28.71161387123372,77.11183012140388,2023-12-01,Unavailable,Anemia,+91-8631775357,2,0.6016530731008519,0.3
DON_000043,Donor_43,25,Male,B+,"Delhi, India",28.73193777423489,77.08638994390046,2025-04-15,Available,None,+91-7415393687,0,0.11280914523833342,1.0
DON_000044,Donor_44,33,Male,O+,"Kolkata, India",22.564631047445296,88.3655972928439,2025-06-11,Unavailable,Hypertension,+91-8541804686,2,0.9379820273285776,0.3
DON_000045,Donor_45,36,Male,O+,"Chennai, India",13.085597748568965,80.29145400798646,2025-03-20,Unavailable,Hypertension,+91-8477278577,1,0.48790505018689806,0.3
DON_000046,Donor_46,45,Male,AB+,"Delhi, India",28.712331049757452,77.1048561455811,2025-05-27,Available,None,+91-9592983555,2,0.4818659264793743,1.0
DON_000047,Donor_47,44,Male,B-,"Bangalore, India",12.986697713124597,77.59862034480047,2025-06-08,Available,None,+91-8136108454,5,0.42990675592006217,1.0
DON_000048,Donor_48,30,Female,O+,"Hyderabad, India",17.394735574475202,78.49083434903224,2025-07-27,Unavailable,None,+91-7186618211,1,0.4788278659357253,0.0
DON_000049,Donor_49,57,Male,B+,"Mumbai, India",19.09382163618536,72.88360274619062,2024-06-16,Available,None,+91-8973214822,3,0.19399071942314802,1.0
DON_000050,Donor_50,37,Male,B+,"Bangalore, India",12.976839526671078,77.5930199210142,2025-05-13,Unavailable,Diabetes,+91-9303082117,3,0.2336168468819647,0.3
DON_000051,Donor_51,29,Female,O+,"Delhi, India",28.70164256935914,77.09977276430253,2025-05-21,Available,None,+91-7536124280,2,0.20635082524087522,1.0
DON_000052,Donor_52,18,Female,B+,"Bangalore, India",12.960534740912584,77.59460699117557,2025-02-21,Available,None,+91-8625792787,1,0.5432688247701876,1.0
DON_000053,Donor_53,36,Male,O+,"Chennai, India",13.080150227825792,80.28573992988584,2025-07-09,Unavailable,Anemia,+91-7338444264,1,0.6054145323009311,0.0
DON_000054,Donor_54,18,Male,B+,"Mumbai, India",19.07530410177087,72.88705678393148,2025-07-15,Unavailable,Anemia,+91-9370996465,2,0.7386860068527829,0.0
DON_000055,Donor_55,50,Male,O+,"Mumbai, India",19.07359674601842,72.87395179192451,2025-02-01,Available,None,+91-8259191105,0,0.31141040423092176,1.0
DON_000056,Donor_56,43,Female,B+,"Chennai, India",13.070188864236147,80.25828498769052,2025-07-10,Unavailable,None,+91-9699987374,1,0.5207957987213782,0.0
DON_000057,Donor_57,25,Male,B+,"Delhi, India",28.72565239538433,77.10922257284415,2025-02-25,Available,None,+91-9656522106,2,0.6672387903213715,1.0
DON_000058,Donor_58,27,Female,A-,"Bangalore, India",12.96181627222385,77.6146557404564,2025-07-18,Unavailable,None,+91-8553210608,0,0.3797200294859959,0.0
DON_000059,Donor_59,43,Female,O+,"Mumbai, India",19.072519869137032,72.87968558362897,2025-07-25,Unavailable,HIV/AIDS,+91-9479708607,4,0.33345887948908165,0.0
DON_000060,Donor_60,18,Male,O+,"Delhi, India",28.705320098146455,77.08560442773923,2025-01-04,Available,None,+91-7825873196,4,0.7113722475000844,1.0
DON_000061,Donor_61,46,Female,O+,"Mumbai, India",19.05837133071129,72.88914135202617,2024-12-29,Available,None,+91-7298737106,2,0.49438565601137713,1.0
DON_000062,Donor_62,19,Male,O-,"Chennai, India",13.08403847654246,80.25988943459592,2024-10-29,Available,None,+91-7196814233,3,0.31957244638060317,1.0
DON_000063,Donor_63,47,Female,A-,"Kolkata, India",22.56217515125773,88.37667926829238,2025-04-27,Unavailable,Anemia,+91-9840104345,3,0.15225339874728774,0.3
DON_000064,Donor_64,31,Male,B+,"Chennai, India",13.093354803750655,80.28293170950592,2025-06-12,Available,None,+91-7978815630,2,0.5099258481998431,1.0
DON_000065,Donor_65,26,Male,B+,"Bangalore, India",12.961538841069165,77.58409088042171,2024-08-13,Unavailable,Cancer,+91-8242911821,2,0.20996618673293127,0.3
DON_000066,Donor_66,18,Female,O+,"Kolkata, India",22.577524512640082,88.34820039662343,2024-11-16,Available,None,+91-7342703921,4,0.22321270043491212,1.0
DON_000067,Donor_67,35,Male,O+,"Mumbai, India",19.079436185895354,72.87393447348978,2024-11-21,Available,None,+91-7999829240,0,0.6854277246757827,1.0
DON_000068,Donor_68,26,Male,B+,"Bangalore, India",12.982436096539056,77.59283052772506,2025-08-03,Unavailable,Anemia,+91-7433797840,1,0.2698392059593261,0.0
DON_000069,Donor_69,25,Male,O+,"Chennai, India",13.077805605574818,80.2811416087707,2025-04-19,Available,None,+91-8632629719,2,0.3067009253226458,1.0
DON_000070,Donor_70,43,Male,O-,"Chennai, India",13.074364410127208,80.27438673308873,2025-02-08,Unavailable,Anemia,+91-8193887545,6,0.8132360901965335,0.3
DON_000071,Donor_71,30,Female,B+,"Mumbai, India",19.08138022354797,72.87817954050284,2025-06-21,Available,None,+91-8947382419,3,0.693871437559736,1.0
DON_000072,Donor_72,49,Female,O+,"Kolkata, India",22.557368130952163,88.36757102266789,2025-01-23,Available,None,+91-9730243887,2,0.09945051525343265,1.0
DON_000073,Donor_73,28,Male,O+,"Delhi, India",28.71531853189427,77.11560543824693,2025-04-22,Unavailable,Diabetes,+91-8566942273,2,0.2679073815600092,0.3
DON_000074,Donor_74,32,Female,B+,"Bangalore, India",12.969305973972697,77.59377848821607,2025-05-21,Available,None,+91-7698594025,3,0.24778173611543544,1.0
DON_000075,Donor_75,48,Female,O+,"Hyderabad, India",17.3887497793834,78.47912600483102,2024-11-24,Unavailable,Diabetes,+91-8589915144,3,0.6178209616651069,0.3
DON_000076,Donor_76,18,Male,O+,"Bangalore, India",12.94736120673371,77.60483521522465,2025-06-25,Unavailable,Hypertension,+91-8525876051,2,0.5292516613519735,0.3
DON_000077,Donor_77,21,Female,AB+,"Mumbai, India",19.06723681332026,72.87807660233169,2025-04-25,Available,None,+91-7899825838,2,0.8123281345571701,1.0
DON_000078,Donor_78,31,Male,B+,"Mumbai, India",19.08524633682913,72.89581980124136,2025-03-23,Available,None,+91-9878380452,2,0.27035492379232473,1.0
DON_000079,Donor_79,39,Female,A+,"Hyderabad, India",17.38901343627025,78.50852507024177,2025-06-07,Unavailable,Hypertension,+91-8146660997,0,0.3610608841784851,0.3
DON_000080,Donor_80,30,Male,O+,"Mumbai, India",19.09742270358612,72.86836786592355,2024-08-16,Available,None,+91-9935814872,2,0.5432232220915278,1.0
DON_000081,Donor_81,44,Female,A-,"Chennai, India",13.06405668471691,80.26168399253964,2025-07-11,Unavailable,None,+91-9783290795,0,0.6966935402045283,0.0
DON_000082,Donor_82,18,Female,B+,"Hyderabad, India",17.392770160957575,78.49164030186283,2024-07-01,Available,None,+91-7306671447,3,0.5835619746185361,1.0
DON_000083,Donor_83,38,Male,O+,"Kolkata, India",22.561044319518945,88.36709223342196,2025-07-16,Unavailable,Anemia,+91-9616197747,1,0.2991928698429019,0.0
DON_000084,Donor_84,39,Male,A+,"Delhi, India",28.691270077758116,77.0999074955742,2024-11-26,Available,None,+91-9727210979,2,0.46830285094866353,1.0
DON_000085,Donor_85,49,Male,A+,"Chennai, India",13.086326556222513,80.28368738503944,2025-07-19,Unavailable,None,+91-7735034881,0,0.44285130706120296,0.0
DON_000086,Donor_86,31,Male,O+,"Mumbai, India",19.075192834198916,72.87181236463793,2025-04-06,Unavailable,Hepatitis,+91-9294113287,0,0.44049209179360893,0.3
DON_000087,Donor_87,35,Male,A-,"Kolkata, India",22.583681828167375,88.35350094072875,2025-08-20,Unavailable,Malaria,+91-8051454923,3,0.8028086724147343,0.0
DON_000088,Donor_88,42,Female,O+,"Chennai, India",13.086349610024664,80.28032965529114,2025-05-07,Unavailable,Anemia,+91-7701808367,1,0.25604395719516737,0.3
DON_000089,Donor_89,38,Male,O+,"Kolkata, India",22.58265142573278,88.36137619956536,2025-01-22,Available,None,+91-8985392498,2,0.29153277647902587,1.0
DON_000090,Donor_90,39,Female,O-,"Delhi, India",28.68766259284412,77.09258607650544,2025-06-10,Available,None,+91-8629748727,5,0.8953903866142944,1.0
DON_000091,Donor_91,18,Male,B+,"Mumbai, India",19.06443255774948,72.86237204147739,2025-08-07,Unavailable,None,+91-8159417075,3,0.32734154953932837,0.0
DON_000092,Donor_92,52,Male,A+,"Chennai, India",13.08662084529701,80.26316035411133,2024-10-23,Unavailable,Diabetes,+91-9748778024,1,0.15345710031045143,0.3
DON_000093,Donor_93,31,Male,O+,"Delhi, India",28.709600520990247,77.09281655545136,2025-06-15,Unavailable,Hypertension,+91-9955633092,2,0.17688906709034705,0.3
DON_000094,Donor_94,36,Female,O+,"Bangalore, India",12.977032980290364,77.59176058189118,2025-06-28,Unavailable,Tuberculosis,+91-9392080953,3,0.20422721523975573,0.0
DON_000095,Donor_95,39,Male,A+,"Delhi, India",28.69736509375756,77.10528994162225,2024-09-25,Unavailable,HIV/AIDS,+91-7943239974,1,0.22458217093135383,0.3
DON_000096,Donor_96,24,Male,O+,"Chennai, India",13.098933965622992,80.26512508214992,2024-08-28,Available,None,+91-9940395823,0,0.6219987099454701,1.0
DON_000097,Donor_97,18,Male,B+,"Kolkata, India",22.566783190860516,88.35375243269307,2025-07-25,Unavailable,None,+91-8392783743,2,0.34486113504332366,0.0
DON_000098,Donor_98,27,Male,B+,"Mumbai, India",19.09546542837515,72.87064988144242,2024-11-03,Available,None,+91-7240251661,4,0.16319862993800394,1.0
DON_000099,Donor_99,34,Male,B-,"Mumbai, India",19.07066090898683,72.86362855973786,2025-01-22,Available,None,+91-7983753977,1,0.7817493507532959,1.0
DON_000100,Donor_100,35,Female,B+,"Bangalore, India",12.981167023167947,77.58389405661764,2025-08-04,Unavailable,Diabetes,+91-7137869475,0,0.5116888646390945,0.0
DON_000101,Donor_101,24,Male,O+,"Kolkata, India",22.56875158118053,88.36853972282924,2025-03-28,Available,None,+91-8354860540,2,0.6370134647634995,1.0
DON_000102,Donor_102,29,Female,O-,"Hyderabad, India",17.37601532018209,78.48720535815593,2024-11-13,Available,None,+91-8722989659,0,0.5988111459632912,1.0
DON_000103,Donor_103,37,Female,O+,"Hyderabad, India",17.390077576703117,78.48723988418446,2024-05-17,Available,None,+91-8149938334,2,0.03853162938418506,1.0
DON_000104,Donor_104,18,Male,B+,"Mumbai, India",19.0909072613685,72.87206350972573,2025-02-17,Available,None,+91-7284277889,2,0.40664270399313646,1.0
DON_000105,Donor_105,30,Male,O+,"Mumbai, India",19.074714925191444,72.88759369438283,2025-01-20,Available,None,+91-7906164396,4,0.26327231273499424,1.0
DON_000106,Donor_106,28,Male,AB+,"Chennai, India",13.086618040054026,80.26075893766958,2024-11-30,Available,None,+91-9436019774,2,0.348857317679924,1.0
DON_000107,Donor_107,34,Male,B+,"Hyderabad, India",17.39971170327494,78.48460676322848,2025-08-02,Unavailable,None,+91-8351531223,1,0.2252971976958775,0.0
DON_000108,Donor_108,26,Female,B+,"Delhi, India",28.696565821296538,77.10338646697399,2024-09-24,Available,None,+91-7913224047,5,0.665704856099478,1.0
DON_000109,Donor_109,55,Female,O+,"Mumbai, India",19.082802653792957,72.88927814842025,2025-01-06,Available,None,+91-9815087637,0,0.17305235499117202,1.0
DON_000110,Donor_110,29,Male,A+,"Chennai, India",13.075132049114305,80.25817410987635,2025-06-26,Unavailable,None,+91-9144181937,0,0.26019619463211396,0.0
DON_000111,Donor_111,28,Male,A+,"Chennai, India",13.074162634653153,80.27429209400458,2025-02-16,Available,None,+91-8699226064,0,0.4532634758926134,1.0
DON_000112,Donor_112,41,Male,B+,"Delhi, India",28.712257372125393,77.1055412617067,2025-05-08,Available,None,+91-9761027762,2,0.40210953842073927,1.0
DON_000113,Donor_113,38,Female,B-,"Delhi, India",28.703156282499645,77.10164106750283,2024-12-10,Available,None,+91-8970753705,4,0.5545965307027901,1.0
DON_000114,Donor_114,44,Male,B+,"Hyderabad, India",17.38881158384883,78.48047621805009,2024-12-26,Available,None,+91-7613628803,2,0.47103905336954427,1.0
DON_000115,Donor_115,40,Male,O+,"Mumbai, India",19.083198372908715,72.89216503935947,2024-12-30,Unavailable,Heart Disease,+91-8137651678,0,0.7699625028296829,0.3
DON_000116,Donor_116,28,Female,B+,"Mumbai, India",19.067796561754694,72.89496963851234,2024-12-06,Available,None,+91-7599707677,3,0.3454335328050521,1.0
DON_000117,Donor_117,30,Female,B+,"Delhi, India",28.698581418541075,77.12808199285669,2025-05-17,Available,None,+91-8059257080,0,0.08716603270128277,1.0
DON_000118,Donor_118,28,Male,B+,"Bangalore, India",12.967067719506728,77.60407825802837,2025-03-07,Available,None,+91-9411057787,3,0.5681874606697376,1.0
DON_000119,Donor_119,43,Male,B+,"Mumbai, India",19.081767580661932,72.88991033695525,2025-06-10,Available,None,+91-9314889832,0,0.5515623347389701,1.0
DON_000120,Donor_120,41,Male,B+,"Hyderabad, India",17.379722231357544,78.49441438991916,2025-05-25,Available,None,+91-8128466620,1,0.43168325392083723,1.0
DON_000121,Donor_121,18,Female,O+,"Delhi, India",28.721822515966696,77.11150176986914,2024-08-14,Unavailable,Hypertension,+91-9510777721,2,0.5375500951011096,0.3
DON_000122,Donor_122,44,Male,A+,"Mumbai, India",19.073735211080987,72.88137365506816,2024-12-13,Available,None,+91-8840109255,1,0.5208541443882536,1.0
DON_000123,Donor_123,45,Male,A+,"Mumbai, India",19.064689736085082,72.88506843897093,2025-04-22,Available,None,+91-9506254832,0,0.3154089361872176,1.0
DON_000124,Donor_124,31,Male,A+,"Kolkata, India",22.58054264679622,88.35135710576832,2025-03-26,Unavailable,Hepatitis,+91-8715412119,0,0.24803308204685753,0.3
DON_000125,Donor_125,38,Male,A-,"Bangalore, India",12.983086373494288,77.59164458759854,2025-06-04,Available,None,+91-8554762903,1,0.19076351466997077,1.0
DON_000126,Donor_126,36,Female,B+,"Mumbai, India",19.068892398964508,72.87843770107888,2025-05-02,Available,None,+91-7941975480,2,0.16475852149507444,1.0
DON_000127,Donor_127,51,Male,O+,"Chennai, India",13.083649937513563,80.26778188731085,2025-07-11,Unavailable,None,+91-7594130308,1,0.8094016078737231,0.0
DON_000128,Donor_128,18,Female,A+,"Mumbai, India",19.057692315516054,72.87970651803955,2025-08-08,Unavailable,None,+91-9188398760,3,0.5853086678514817,0.0
DON_000129,Donor_129,39,Female,AB+,"Delhi, India",28.699822443129534,77.09915224667894,2024-06-03,Available,None,+91-9119634399,1,0.5799943188550883,1.0
DON_000130,Donor_130,30,Male,O-,"Chennai, India",13.085350560448404,80.27024973177171,2025-07-22,Unavailable,None,+91-7390452952,1,0.49088263688988887,0.0
DON_000131,Donor_131,48,Male,O-,"Delhi, India",28.70114598589861,77.12057876158799,2025-07-20,Unavailable,None,+91-7202363285,4,0.6665672966044712,0.0
DON_000132,Donor_132,39,Male,B+,"Hyderabad, India",17.381082418509564,78.47747589815502,2025-05-02,Available,None,+91-7470939445,3,0.5481332418333011,1.0
DON_000133,Donor_133,54,Female,A+,"Delhi, India",28.692886193619252,77.10533287871547,2024-09-23,Available,None,+91-7656448479,2,0.2559296287626359,1.0
DON_000134,Donor_134,31,Male,AB+,"Delhi, India",28.71044721468562,77.11359699841957,2025-02-16,Available,None,+91-9694860228,2,0.5591744607732706,1.0
DON_000135,Donor_135,39,Female,B+,"Mumbai, India",19.080216844682646,72.88283105798176,2025-05-06,Available,None,+91-7687117441,4,0.496005055253892,1.0
DON_000136,Donor_136,31,Female,AB+,"Mumbai, India",19.075805803941122,72.87466820217166,2024-01-06,Unavailable,Diabetes,+91-9922644564,2,0.2904109832941283,0.3
DON_000137,Donor_137,44,Male,O+,"Chennai, India",13.076206686880797,80.27140052163114,2025-08-12,Unavailable,HIV/AIDS,+91-8813163240,4,0.10515230183949971,0.0
DON_000138,Donor_138,48,Male,AB+,"Bangalore, India",12.980458031376017,77.59690009523763,2025-07-30,Unavailable,None,+91-9561557300,5,0.21366204858851187,0.0
DON_000139,Donor_139,60,Female,B+,"Chennai, India",13.083136024463725,80.28765051040432,2025-07-03,Unavailable,None,+91-7272849424,0,0.2937937365266442,0.0
DON_000140,Donor_140,27,Male,B+,"Bangalore, India",12.959199397075295,77.59542439752934,2025-08-12,Unavailable,None,+91-8652563013,2,0.4541057071667135,0.0
DON_000141,Donor_141,18,Male,O+,"Mumbai, India",19.067137796563905,72.88038661426684,2025-08-14,Unavailable,None,+91-8639042338,3,0.60398248688851,0.0
DON_000142,Donor_142,36,Female,B+,"Chennai, India",13.080885216704209,80.25488809297968,2023-03-16,Available,None,+91-9559321289,1,0.045885638121196795,1.0
DON_000143,Donor_143,45,Female,B-,"Hyderabad, India",17.36348184598671,78.47950846680757,2025-08-20,Unavailable,None,+91-9010258946,0,0.6033002883680049,0.0
DON_000144,Donor_144,32,Female,O+,"Mumbai, India",19.078332161312634,72.8815153856259,2025-06-03,Unavailable,Malaria,+91-9272528809,3,0.199971737176527,0.3
DON_000145,Donor_145,42,Male,O-,"Mumbai, India",19.056406097739092,72.8850264936073,2025-04-05,Available,None,+91-8079815404,0,0.23456065675978707,1.0
DON_000146,Donor_146,45,Female,A+,"Delhi, India",28.706703218387712,77.08430692071336,2025-01-31,Available,None,+91-9376087131,2,0.655935723888017,1.0
DON_000147,Donor_147,26,Male,B+,"Bangalore, India",12.984703087461197,77.6085568381079,2025-01-12,Available,None,+91-7049310608,1,0.30212323734443663,1.0
DON_000148,Donor_148,28,Male,O+,"Chennai, India",13.071233352854792,80.27616284248005,2025-03-06,Available,None,+91-9921794983,2,0.46735076281504057,1.0
DON_000149,Donor_149,35,Male,O+,"Mumbai, India",19.082969544045106,72.87436180510244,2025-05-24,Available,None,+91-7491995979,0,0.22371810368803652,1.0
DON_000150,Donor_150,49,Female,O+,"Kolkata, India",22.57510452407728,88.34588942265847,2025-05-24,Available,None,+91-9927923735,2,0.3210422921030236,1.0
DON_000151,Donor_151,28,Male,O+,"Mumbai, India",19.07891861762,72.88669464971149,2025-06-06,Available,None,+91-9306270004,3,0.7057811669027952,1.0
DON_000152,Donor_152,58,Male,B+,"Mumbai, India",19.072083514325783,72.8710451458531,2025-04-26,Available,None,+91-8146005448,4,0.6310777169397861,1.0
DON_000153,Donor_153,45,Female,B-,"Mumbai, India",19.054643257860214,72.90907748533661,2025-05-01,Unavailable,Cancer,+91-9752909971,3,0.4391760600395458,0.3
DON_000154,Donor_154,47,Female,B+,"Hyderabad, India",17.38295545020315,78.4926355672228,2024-12-03,Available,None,+91-8461042543,2,0.3494853678077166,1.0
DON_000155,Donor_155,18,Female,B-,"Mumbai, India",19.085531250453762,72.88283085420098,2025-04-26,Available,None,+91-7479112937,2,0.6117334177805361,1.0
DON_000156,Donor_156,43,Female,O+,"Chennai, India",13.075250973551936,80.26878952310054,2024-11-30,Available,None,+91-8260573448,3,0.6234896661760025,1.0
DON_000157,Donor_157,28,Male,AB+,"Kolkata, India",22.570986356269906,88.35680427707047,2025-08-07,Unavailable,Malaria,+91-8867302554,2,0.7220126533186717,0.0
DON_000158,Donor_158,23,Male,AB+,"Kolkata, India",22.575373769379585,88.35535327055028,2025-05-19,Unavailable,HIV/AIDS,+91-7679282378,2,0.3307693665555524,0.3
DON_000159,Donor_159,39,Female,B+,"Delhi, India",28.70646581750876,77.11619708777971,2025-03-15,Available,None,+91-8948728483,0,0.17365259109925898,1.0
DON_000160,Donor_160,21,Female,O+,"Bangalore, India",12.971753789813722,77.59132105283487,2025-06-21,Available,None,+91-7013938521,1,0.6408849283738997,1.0
DON_000161,Donor_161,36,Female,O+,"Mumbai, India",19.07862561329002,72.87963589911368,2024-12-20,Available,None,+91-8131247330,0,0.3617319194582917,1.0
DON_000162,Donor_162,45,Male,A-,"Mumbai, India",19.08836130721806,72.86714612982908,2025-01-23,Available,None,+91-9150000991,3,0.31518137608862123,1.0
DON_000163,Donor_163,47,Male,AB+,"Bangalore, India",12.96706751590977,77.6091246753447,2025-08-12,Unavailable,None,+91-7767303988,3,0.6628130727919544,0.0
DON_000164,Donor_164,38,Male,A+,"Bangalore, India",12.979700623040527,77.58270588107132,2024-08-04,Available,None,+91-9180476188,2,0.3476595970932408,1.0
DON_000165,Donor_165,54,Female,O+,"Hyderabad, India",17.3827140008466,78.47675650625392,2025-06-21,Available,None,+91-7457031004,0,0.7170422102109721,1.0
DON_000166,Donor_166,18,Male,A+,"Mumbai, India",19.09147570095029,72.88442861235967,2025-04-30,Unavailable,Tuberculosis,+91-9685643886,2,0.43933719172978775,0.3
DON_000167,Donor_167,42,Male,O+,"Mumbai, India",19.077733416643703,72.88013953197908,2025-06-19,Unavailable,Diabetes,+91-8281810600,2,0.5214424562641148,0.3
DON_000168,Donor_168,32,Male,O+,"Mumbai, India",19.078307009057188,72.87564272409172,2025-07-05,Unavailable,None,+91-9744267175,3,0.7231767440924978,0.0
